param,row,col,value
w1,20,2,-0.6870578324909338
w1,20,3,0.013504139130029801
w1,20,4,-0.6881258463868088
w1,20,5,-0.08643416187837706
w1,21,0,0.39558554683387115
w1,21,1,0.2244760527655478
w1,21,2,0.35319382795497983
w1,21,3,0.700852694456716
w1,21,4,1.0588820141022561
w1,21,5,-0.031941282939440666
w1,22,0,-0.29467505873882477
w1,22,1,0.5716966469273768
w1,22,2,0.956876675520193
w1,22,3,-0.05097663328860091
w1,22,4,0.2505172996389475
w1,22,5,0.2895247627645811
w1,23,0,-0.2980235506870425
w1,23,1,1.0520883666390115
w1,23,2,0.1419508699106479
w1,23,3,-0.7825563658762166
w1,23,4,-0.10371181519100904
w1,23,5,0.1499482171851522
w1,24,0,-0.41671585585083876
w1,24,1,0.3206731243174645
w1,24,2,-0.5857879149286621
w1,24,3,-0.939470333478886
w1,24,4,0.5854344295500236
w1,24,5,-0.05494002750793183
w1,25,0,0.13074471347625596
w1,25,1,0.9189341127514171
w1,25,2,1.1394468145227346
w1,25,3,0.1644093115280054
w1,25,4,-0.04729788987211228
w1,25,5,-0.6014325868705016
w1,26,0,-0.06319936683744265
w1,26,1,0.042586909985742404
w1,26,2,0.23151375240972177
w1,26,3,-0.41732787885190376
w1,26,4,0.2779872655824535
w1,26,5,0.12951498243504161
w1,27,0,-0.16289809987479736
w1,27,1,0.6291346536883277
w1,27,2,0.46871896156496046
w1,27,3,-0.7308954998859609
w1,27,4,0.442080347565755
w1,27,5,0.8428318539643542
w1,28,0,-0.10818864890117452
w1,28,1,-0.6781063246634739
w1,28,2,0.5974419874058107
w1,28,3,-0.4432028639766755
w1,28,4,-0.11849633124426512
w1,28,5,-0.07906513007292447
w1,29,0,1.271436281771777
w1,29,1,-0.927934553454757
w1,29,2,0.07827555828152127
w1,29,3,0.29152713905592664
w1,29,4,0.5108769748186895
w1,29,5,0.04260387816458589
w1,30,0,0.43608125683828897
w1,30,1,-0.1203274551470727
w1,30,2,0.41368555813935315
w1,30,3,0.42840736507322574
w1,30,4,-1.045180698899503
w1,30,5,-0.7315157410934332
w1,31,0,-0.48331290387156245
w1,31,1,0.5267034194220259
w1,31,2,-0.2652046364457029
w1,31,3,0.4971587072820105
w1,31,4,-0.9685229804831019
w1,31,5,-0.4209753745089605
w1,32,0,0.3354416038372532
w1,32,1,0.09371899619472979
w1,32,2,-0.44011975352963495
w1,32,3,-1.182327425085661
w1,32,4,-0.34610993477329255
w1,32,5,-0.3459232920353379
w1,33,0,-0.5161259667704307
w1,33,1,0.16280193323545597
w1,33,2,-0.3733189093167669
w1,33,3,-0.6368193838561529
w1,33,4,-0.4883576803409211
w1,33,5,-0.3337099020752793
w1,34,0,-0.21050036440150258
w1,34,1,0.3767021505766261
w1,34,2,0.0797485577743556
w1,34,3,0.6229784161122297
w1,34,4,-0.11457234382060547
w1,34,5,0.012736284841528223
w1,35,0,0.581545512621214
w1,35,1,-0.7247017500747006
w1,35,2,1.1701428012077
w1,35,3,-0.18897522496074273
w1,35,4,0.2485796245103327
w1,35,5,0.23159832079907464
w1,36,0,-0.27727126133716745
w1,36,1,-0.28526328763921077
w1,36,2,0.17557788208463687
w1,36,3,0.5472170800201602
w1,36,4,0.2598198216659
w1,36,5,-0.5112410601001711
w1,37,0,-0.32099039582285105
w1,37,1,0.13332135385887856
w1,37,2,0.7539154491580556
w1,37,3,-0.8962759892885522
w1,37,4,0.12081044679691476
w1,37,5,0.4238280617043837
w1,38,0,0.027821349642516566
w1,38,1,0.09771135718689804
w1,38,2,-0.12926997024034487
w1,38,3,0.4720360721099937
w1,38,4,-0.19150324450749362
w1,38,5,0.8681188401793924
w1,39,0,0.26659992255400283
w1,39,1,0.7464840283415574
w1,39,2,0.5373202519644954
w1,39,3,-1.0240539416094008
w1,39,4,-0.1586717671808997
w1,39,5,0.14979274882356197
w1,40,0,0.43239222448650666
w1,40,1,-0.2890275014383097
w1,40,2,0.9789586382799628
w1,40,3,-0.5887955112870885
w1,40,4,0.34528473088059525
w1,40,5,0.04064497980885713
w1,41,0,0.11499346800380848
w1,41,1,-0.3026402511082148
w1,41,2,-0.1580411173897445
w1,41,3,0.21312334976314504
w1,41,4,0.38003821301014284
w1,41,5,0.3282190396990922
w1,42,0,0.18835450865744618
w1,42,1,-1.2559603966604256
w1,42,2,0.898482763957543
w1,42,3,-0.33522247373857816
w1,42,4,-0.8256886017872802
w1,42,5,-0.6063449693229422
w1,43,0,0.486121330822625
w1,43,1,-0.5448776862085091
w1,43,2,-0.3290007815382528
w1,43,3,-0.4850875108076264
w1,43,4,0.4015524634386432
w1,43,5,0.13389615115117381
w1,44,0,0.5504493932649184
w1,44,1,-0.10746705378126628
w1,44,2,-0.3080955571822256
w1,44,3,-0.20485733645693915
w1,44,4,0.0325430671524255
w1,44,5,-0.23294174440642365
w1,45,0,-0.97626504480559
w1,45,1,0.41658334932573043
w1,45,2,-0.3222364585638301
w1,45,3,0.42484953565270184
w1,45,4,0.061569726134499424
w1,45,5,0.21824075162152637
w1,46,0,-0.8837271303035124
w1,46,1,-0.038746815677069356
w1,46,2,-0.49569611290071425
w1,46,3,-0.21873119005029837
w1,46,4,-0.8642313419785288
w1,46,5,0.6748428137982784
w1,47,0,-1.4283769499041057
w1,47,1,-0.3246525910930465
w1,47,2,-0.20707846611993186
w1,47,3,0.8806068693968201
w1,47,4,-0.5481781292572336
w1,47,5,0.46458452303926445
w1,48,0,0.634677279401814
w1,48,1,0.21757126897069282
w1,48,2,-0.005315741318253689
w1,48,3,0.5427020214327225
w1,48,4,-0.5214635490570619
w1,48,5,-0.12091027724494546
w1,49,0,-1.0838926127579591
w1,49,1,0.30816089962086457
w1,49,2,-0.007757649682419021
w1,49,3,-0.8322944005582565
w1,49,4,0.07019552650211602
w1,49,5,-0.760231093984835
w2,0,0,0.12681914890424575
w2,0,1,-0.20872552345068499
w2,0,2,0.09292658116121219
w2,0,3,0.002116548600037079
w2,0,4,-0.050697328004506985
w2,0,5,0.13875837179418624
w2,0,6,-0.33457140111351635
w2,0,7,0.16377637507427215
w2,0,8,-0.08473877017705368
w2,0,9,-0.15478274151021015
w2,0,10,-0.18881183547860253
w2,0,11,-0.019148189659034063
w2,0,12,-0.09314363610584951
w2,0,13,0.0824542149043228
w2,0,14,0.19298604033514394
w2,0,15,0.01580580370228315
w2,0,16,-0.07024658235400848
w2,0,17,-0.1343817006627663
w2,0,18,0.005243055697104661
w2,0,19,0.3368323348884148
w2,0,20,-0.20313042195761596
w2,0,21,-0.0148403803705155
w2,0,22,0.34253503072619673
w2,0,23,0.24504642288958475
w2,0,24,-0.031539677390672906
w2,0,25,0.31455131410702675
w2,0,26,-0.06664693347869656
w2,0,27,0.018913125995013002
w2,0,28,0.05465413675593204
w2,0,29,-0.16690698047801403
w2,0,30,0.14587204101085105
w2,0,31,0.0647969644820828
w2,0,32,-0.08258597168569834
w2,0,33,-0.3502933834953327
w2,0,34,-0.18270889901132537
w2,0,35,-0.1024691790818091
w2,0,36,0.2508722192609845
w2,0,37,-0.05291667611917866
w2,0,38,0.10315940341156069
w2,0,39,0.33682407037565576
w2,0,40,-0.17394176196637412
w2,0,41,-0.04149859472813181
w2,0,42,0.27649555230897593
w2,0,43,-0.20555098595026752
w2,0,44,-0.035265834274776975
w2,0,45,-0.0861984339625646
w2,0,46,0.08212477067959927
w2,0,47,-0.39858379791193443
w2,0,48,-0.11447912550221413
w2,0,49,0.013537018484661354
w2,1,0,0.029071954792095553
w2,1,1,0.12312772945166278
w2,1,2,-0.1693306257779763
w2,1,3,0.03335240291458454
w2,1,4,0.29936216414591715
w2,1,5,-0.0775944955542322
w2,1,6,0.34736995493617995
w2,1,7,0.3152260432059391
w2,1,8,-0.21831262269275115
w2,1,9,-0.053364031868110735
w2,1,10,-0.04984770504885442
w2,1,11,-0.23549487175258632
w2,1,12,-0.011094229691989093
w2,1,13,-0.0405464248608552
w2,1,14,-0.18104320512684802
w2,1,15,-0.18879557328411636
w2,1,16,-0.09656523714224788
w2,1,17,0.14870019337117338
w2,1,18,0.3744143418772299
w2,1,19,0.13961453725952158
w2,1,20,0.21511191770287508
w2,1,21,0.009081862515752506
w2,1,22,0.3927503294638316
w2,1,23,-0.023319541403567366
w2,1,24,0.0033875079449360687
w2,1,25,-0.3888538384904939
w2,1,26,-0.1341100683256915
w2,1,27,-0.018690812837746863
w2,1,28,0.23319302658149904
w2,1,29,0.047129070553338995
w2,1,30,-0.039728858806958034
w2,1,31,-0.06801280406373657
w2,1,32,-0.08938217430634747
w2,1,33,0.22781378820930756
w2,1,34,0.2730445598000954
w2,1,35,0.3797043358825503
w2,1,36,-0.08938654658337487
w2,1,37,-0.1307988100169847
w2,1,38,-0.012101280924448336
w2,1,39,-0.11039836196930329
w2,1,40,-0.1950514433254523
w2,1,41,0.21631321282085011
w2,1,42,0.003527709497148383
w2,1,43,-0.3006955519900849
w2,1,44,0.16560702729649912
